,owner,score,last_edit_date,last_activity_date,creation_date,post_type,content_license,link
17,"(48, 'pluke')",40,1496760069.0,1631396484,1495551650,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/17
27,"(59, 'hotpaw2')",21,1498232262.0,1614528888,1495552719,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/27
14,"(27, 'Ben I.')",20,1498952288.0,1599442281,1495551100,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/14
44,"(55, 'Alicia')",18,1564924019.0,1598103366,1495555231,question,CC BY-SA 4.0,https://cseducators.stackexchange.com/q/44
93,"(116, 'James')",11,1498250477.0,1569716892,1495571450,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/93
2,"(27, 'Ben I.')",25,1496924355.0,1568490479,1495549202,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/2
3,"(7, 'called2voyage')",10,1514814564.0,1527551224,1495549235,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/3
89,"(111, 'wythagoras')",16,1498232267.0,1527461546,1495570495,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/89
7,"(28, 'ecc')",22,1495566211.0,1527427159,1495549523,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/7
64,"(86, 'vk2015')",11,1505155987.0,1521110776,1495557837,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/64
59,"(59, 'hotpaw2')",6,1519718877.0,1520796262,1495556932,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/59
33,"(41, 'Sean Houlihane')",7,1519374710.0,1519374710,1495553474,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/33
11,"(27, 'Ben I.')",18,1515315833.0,1515315833,1495550518,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/11
4,"(27, 'Ben I.')",9,1514821874.0,1514821874,1495549274,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/4
86,"(27, 'Ben I.')",5,1507483200.0,1507483200,1495568988,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/86
84,"(111, 'wythagoras')",5,,1507483200,1495568335,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/84
46,"(62, 'Andrew Sundstrom')",16,1505657124.0,1505657124,1495555372,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/46
69,"(53, 'TomOnTime')",14,1505155959.0,1505155959,1495559614,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/69
35,"(58, 'thesecretmaster')",6,1498234941.0,1504530704,1495553559,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/35
79,"(69, 'Floern')",15,1495708344.0,1502382776,1495564966,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/79
63,"(59, 'hotpaw2')",10,1495632281.0,1501435349,1495557828,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/63
19,"(21, 'ncmathsadist')",6,1498232276.0,1500919817,1495551929,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/19
25,"(42, 'adamblan')",0,1500897129.0,1500897129,1495552426,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/25
49,"(80, 'Romeo Ninov')",2,1500897093.0,1500897093,1495555886,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/49
66,"(62, 'Andrew Sundstrom')",18,1498757716.0,1498757716,1495558647,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/66
30,"(58, 'thesecretmaster')",15,1498234949.0,1498234949,1495553190,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/30
51,"(59, 'hotpaw2')",8,1497543545.0,1497543545,1495556004,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/51
82,"(2, 'Aurora0001')",19,1497461208.0,1497461208,1495565799,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/82
80,"(99, 'Tom')",10,1495577483.0,1497461208,1495565041,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/80
34,"(46, 'Manav Dubey')",3,1496867852.0,1496867852,1495553498,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/34
6,"(27, 'Ben I.')",8,1496671614.0,1496814406,1495549454,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/6
81,"(111, 'wythagoras')",8,1495827021.0,1495827021,1495565766,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/81
95,"(59, 'hotpaw2')",1,1495643631.0,1495643631,1495571976,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/95
78,"(27, 'Ben I.')",10,1495628275.0,1495628275,1495564463,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/78
40,"(27, 'Ben I.')",11,1495604788.0,1495604788,1495554240,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/40
71,"(62, 'Andrew Sundstrom')",6,1495591596.0,1495591596,1495560240,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/71
31,"(27, 'Ben I.')",7,1495588960.0,1495588960,1495553265,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/31
99,"(128, 'Joat')",4,,1495580465,1495580465,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/99
43,"(58, 'thesecretmaster')",15,1495576420.0,1495576420,1495555110,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/43
97,"(59, 'hotpaw2')",1,,1495573038,1495573038,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/97
96,"(76, 'Peter')",11,1495572792.0,1495572792,1495572388,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/96
94,"(76, 'Peter')",4,,1495571649,1495571649,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/94
92,"(41, 'Sean Houlihane')",1,,1495571342,1495571342,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/92
91,"(30, 'Ryan Nutt')",3,,1495571173,1495571173,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/91
90,"(58, 'thesecretmaster')",2,,1495570818,1495570818,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/90
87,"(58, 'thesecretmaster')",2,,1495569245,1495569245,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/87
85,"(30, 'Ryan Nutt')",1,,1495568400,1495568400,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/85
83,"(35, 'AlG')",14,,1495566176,1495566176,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/83
70,"(30, 'Ryan Nutt')",7,1495564979.0,1495564979,1495559746,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/70
77,"(76, 'Peter')",4,,1495564120,1495564120,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/77
75,"(30, 'Ryan Nutt')",9,,1495562982,1495562982,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/75
74,"(41, 'Sean Houlihane')",2,,1495562301,1495562301,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/74
73,"(41, 'Sean Houlihane')",8,,1495560596,1495560596,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/73
72,"(2, 'Aurora0001')",10,,1495560520,1495560520,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/72
62,"(39, 'Nat')",8,1592469417.0,1495558707,1495557688,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/62
65,"(76, 'Peter')",5,,1495558494,1495558494,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/65
61,"(30, 'Ryan Nutt')",13,,1495557501,1495557501,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/61
58,"(30, 'Ryan Nutt')",5,,1495556642,1495556642,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/58
56,"(76, 'Peter')",2,,1495556630,1495556630,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/56
55,"(59, 'hotpaw2')",0,,1495556354,1495556354,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/55
54,"(44, 'Miles')",11,,1495556276,1495556276,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/54
53,"(73, 'warl0ck')",4,,1495556275,1495556275,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/53
52,"(80, 'Romeo Ninov')",2,,1495556133,1495556133,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/52
50,"(76, 'Peter')",10,,1495555988,1495555988,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/50
48,"(58, 'thesecretmaster')",28,1495555895.0,1495555895,1495555525,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/48
47,"(42, 'adamblan')",2,,1495555490,1495555490,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/47
45,"(76, 'Peter')",4,,1495555357,1495555357,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/45
23,"(42, 'adamblan')",1,1495555261.0,1495555261,1495552181,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/23
37,"(27, 'Ben I.')",8,,1495553954,1495553954,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/37
29,"(49, 'celeriko')",13,1495553483.0,1495553483,1495553150,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/29
32,"(2, 'Aurora0001')",23,,1495553292,1495553292,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/32
28,"(51, 'vacip')",6,,1495553054,1495553054,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/28
22,"(54, 'Marc Scott')",6,,1495552135,1495552135,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/22
21,"(42, 'adamblan')",7,,1495552023,1495552023,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/21
18,"(39, 'Nat')",5,,1495551772,1495551772,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/18
13,"(41, 'Sean Houlihane')",3,,1495551014,1495551014,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/13
10,"(2, 'Aurora0001')",11,,1495549969,1495549969,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/10
8,"(21, 'ncmathsadist')",2,,1495549950,1495549950,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/8
146,"(58, 'thesecretmaster')",20,1495660966.0,1642137075,1495660652,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/146
112,"(76, 'Peter')",13,1495743166.0,1640902870,1495605661,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/112
130,"(172, 'ra1ned')",32,1611700833.0,1611700833,1495630683,question,CC BY-SA 4.0,https://cseducators.stackexchange.com/q/130
122,"(51, 'vacip')",0,1598103366.0,1598103366,1495621176,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/122
104,"(134, 'dlu')",9,1554926080.0,1555513619,1495584379,question,CC BY-SA 4.0,https://cseducators.stackexchange.com/q/104
189,"(53, 'TomOnTime')",8,1549786397.0,1549786397,1495762029,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/189
137,"(46, 'Manav Dubey')",13,1495749963.0,1549786397,1495636551,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/137
114,"(111, 'wythagoras')",6,1548953312.0,1548953312,1495607620,question,CC BY-SA 4.0,https://cseducators.stackexchange.com/q/114
128,"(2, 'Aurora0001')",9,1539286407.0,1539286407,1495629051,answer,CC BY-SA 4.0,https://cseducators.stackexchange.com/a/128
113,"(150, 'ItamarG3')",11,1498295578.0,1539286407,1495607503,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/113
129,"(170, 'elegent')",11,1496220037.0,1527674521,1495629917,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/129
161,"(51, 'vacip')",25,1499522294.0,1525328812,1495712387,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/161
131,"(174, 'nycynik')",9,1522270046.0,1522270046,1495631621,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/131
132,"(27, 'Ben I.')",41,1522266133.0,1522266133,1495632378,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/132
185,"(116, 'James')",4,1520848448.0,1520848448,1495740027,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/185
108,"(58, 'thesecretmaster')",5,1515315257.0,1515315257,1495593153,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/108
134,"(162, 'A Biswas')",-1,1513294994.0,1513295022,1495635244,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/134
120,"(51, 'vacip')",5,1498942781.0,1510138646,1495620232,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/120
143,"(27, 'Ben I.')",7,1509568217.0,1509568217,1495643584,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/143
178,"(204, 'ctrl-alt-delor')",9,1500971424.0,1500971424,1495734488,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/178
159,"(150, 'ItamarG3')",2,1500826747.0,1500826747,1495706953,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/159
153,"(76, 'Peter')",7,1497821579.0,1500826747,1495687323,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/153
180,"(59, 'hotpaw2')",13,1497157347.0,1499699759,1495738001,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/180
179,"(59, 'hotpaw2')",3,1499443224.0,1499443224,1495737156,answer,CC BY-SA 3.0,https://cseducators.stackexchange.com/a/179
172,"(58, 'thesecretmaster')",7,1498249746.0,1498249746,1495727816,question,CC BY-SA 3.0,https://cseducators.stackexchange.com/q/172
